img1;img2;all_images;product-code;product-title;sizes;price;colors
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612169/l_20202-0wbt11z1-fzp_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612169/l_20202-0wbt11z1-fzp_c.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612169/l_20202-0wbt11z1-fzp_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612169/l_20202-0wbt11z1-fzp_c.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4612169/l_20202-0wbt11z1-fzp_z.jpg;0WBT11Z1 - FZP - Pembe;Kız Bebek Baskılı Tulum;0-1 Ay,1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;29,99 TL;Pembe
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3917034/l_20201-0s7514z1-ltq_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3917034/l_20201-0s7514z1-ltq_c.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3917034/l_20201-0s7514z1-ltq_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3917034/l_20201-0s7514z1-ltq_c.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3917034/l_20201-0s7514z1-ltq_z.jpg;0S7514Z1 - LTQ - Kırmızı Baskılı;Kız Bebek Minnie Mouse Baskılı Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Kırmızı Baskılı
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4057697/l_20201-0sb496z1-hpm_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4057697/l_20201-0sb496z1-hpm_b.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4057697/l_20201-0sb496z1-hpm_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/4057697/l_20201-0sb496z1-hpm_b.jpg;0SB496Z1 - HPM - Kırmızı;Erkek Bebek Atatürk İmzalı Pamuklu Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Kırmızı
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3953175/l_20201-0sg774z1-p6w_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3953175/l_20201-0sg774z1-p6w_b.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3953175/l_20201-0sg774z1-p6w_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3953175/l_20201-0sg774z1-p6w_b.jpg;0SG774Z1 - P6W - Sarı;Kız Bebek Baskılı Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Sarı,Neon Pembe
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4023933/l_20201-0sn377z1-cs6_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4023933/l_20201-0sn377z1-cs6_c.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4023933/l_20201-0sn377z1-cs6_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4023933/l_20201-0sn377z1-cs6_c.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4023933/l_20201-0sn377z1-cs6_z1.jpg;0SN377Z1 - CS6 - İndigo;Erkek Bebek Baskılı Pamuklu Çıtçıtlı Body;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;İndigo
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3853613/l_20201-0s2215z1-fte_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3853613/l_20201-0s2215z1-fte_b.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3853613/l_20201-0s2215z1-fte_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3853613/l_20201-0s2215z1-fte_b.jpg;0S2215Z1 - FTE - Açık Pembe;Kız Bebek Pamuklu Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Açık Pembe
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/3976575/l_20201-0sj146z1-fra_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/3976575/l_20201-0sj146z1-fra_b.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/3976575/l_20201-0sj146z1-fra_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/3976575/l_20201-0sj146z1-fra_b.jpg;0SJ146Z1 - FRA - Pembe;Kız Bebek Pamuklu Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Pembe
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3953173/l_20201-0sg773z1-lhk_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3953173/l_20201-0sg773z1-lhk_c.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3953173/l_20201-0sg773z1-lhk_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3953173/l_20201-0sg773z1-lhk_c.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/productimages/20201/5/3953173/l_20201-0sg773z1-lhk_z.jpg;0SG773Z1 - LHK - Pembe Çizgili;Kız Bebek Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Beyaz Çizgili,Pembe Çizgili
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4011629/l_20201-0sm205z1-ljx_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4011629/l_20201-0sm205z1-ljx_c.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4011629/l_20201-0sm205z1-ljx_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4011629/l_20201-0sm205z1-ljx_c.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4011629/l_20201-0sm205z1-ljx_z.jpg;0SM205Z1 - LJX - Beyaz Çizgili;Erkek Bebek Mickey Mouse Baskılı Tulum;1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Beyaz Çizgili
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4053846/l_20201-0sa947z1-lkf_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4053846/l_20201-0sa947z1-lkf_b.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4053846/l_20201-0sa947z1-lkf_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4053846/l_20201-0sa947z1-lkf_b.jpg;0SA947Z1 - LKF - Sarı Çizgili;Kız Bebek Çizgili Pamuklu Tulum;0-1 Ay,1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Sarı Çizgili
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4038870/l_20201-0so414z1-847_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4038870/l_20201-0so414z1-847_d.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4038870/l_20201-0so414z1-847_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4038870/l_20201-0so414z1-847_d.jpg;0SO414Z1 - 847 - Kar Melanj;Erkek Bebek Baskılı Tulum;0-1 Ay,1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay,18-24 Ay;;Kar Melanj
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4287370/l_20202-0w8014z1-fdu_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4287370/l_20202-0w8014z1-fdu_d.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4287370/l_20202-0w8014z1-fdu_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20202/4287370/l_20202-0w8014z1-fdu_d.jpg;0W8014Z1 - FDU - Ekru;Kız Bebek Baskılı Tulum;0-1 Ay,1-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay;74,99 TL;Ekru
https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4694908/l_20201-0sbr54z1-hfh_a.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4694908/l_20201-0sbr54z1-hfh_l.jpg;https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4694908/l_20201-0sbr54z1-hfh_a.jpg, https://img-lcwaikiki.mncdn.com/mnresize/1024/-/pim/productimages/20201/4694908/l_20201-0sbr54z1-hfh_l.jpg;0SBR54Z1 - HFH - Lacivert;Antebies Organik Pamuklu Tulum;0-3 Ay,3-6 Ay,6-9 Ay,9-12 Ay,12-18 Ay;64,99 TL;Lacivert
